<<<<<<< HEAD
abandon   v.Å×Æú£¬·ÅÆú
islam   n.ÒÁË¹À¼½Ì£¬»Ø½Ì
island   n.µºÓì
isolate   v.¸ôÀë£¬¹ÂÁ¢
isolation   n.¸ôÀë£¬¹ÂÁ¢×´Ì¬
issue   v.·¢ÐÐ,·¢²¼ n.·¢ÐÐÎï
it   pron.Ëü
italian   n.,adj.Òâ´óÀûÈË(µÄ)
italy   n.Òâ´óÀû
itch   v.,n.Ñ÷£¬ÈÈÍû
item   n.Ìõ¿î£¬ÏîÄ¿
itemize   v.·ÖÁÐ
its   pron.ËüµÄ
itself   pron.Ëü×Ô¼º
ivory   n.ÏóÑÀ£¬ÏóÑÀÉ«
jack   n.Ç§½ï¶¥£¬´¬Ê×Æì
jacket   n.¶ÌÍâÌ×£¬ÇÑ¿ËÉÀ
jail   n.¼àÓü v.¼à½û
jam   n.¹û½´£¬×èÈû
january   n.Ò»ÔÂ
japan   n.ÈÕ±¾
japanese   n.,adj.ÈÕ±¾ÈË(µÄ)
jar   n.¹Þ×Ó£¬Ì³×Ó£¬´Ì¶úÉù
jaw   n.ÏÂò¦£¬ÏÂ°Í
jazz   n.¾ôÊ¿ÀÖ
jealousy   n.¶Ê¼É
jealous   adj.¶Ê¼ÉµÄ
jeans   n.Å£×Ð¿ã
jelly   n.¹û¶³
jeep   n.¼ªÆÕ³µ
jeopardize   v.Î£¼°
jerk   n.µßô¤£¬ÃÍÍÆ
jesus   n.Ò®öÕ
jet   v.ÅçÉä v.ÅçÆø·¢¶¯»ú
jettison   n.Í¶Æú»õÎï v.Å×Æú
jew   n.ÓÌÌ«ÈË
jewel   n.Öé±¦£¬±¦Ê¯
jewelry   n.Öé±¦(×Ü³Æ)
jewish   adj.ÓÌÌ«ÈËµÄ
jingle   v.,n.(·¢)¶£µ±Éù
job   n.¹¤×÷£¬»î¶ù£¬²îÊ¹
jobless   adj.Ê§ÒµµÄ
jog   v.ÂýÅÜ
join   v.Á¬½Ó£¬¼ÓÈë£¬²Î¼Ó
joint   n.½Ó×Å£¬¹Ø½Ú
joke   n.Ð¦»° v.¿ªÍæÐ¦
jot   v.´Ò´Ò¼ÇÏÂ
journal   n.¿¯Îï£¬ÈÕÖ¾
journalism   n.ÐÂÎÅÌå
journalist   n.¼ÇÕß
journey   n.ÂÃÐÐ£¬ÂÃ³Ì
joy   n.¸ßÐË£¬ÀÖÊÂ
joyful   adj.ÁîÈË¸ßÐËµÄ
judge   n.·¨¹Ù£¬²ÃÅÐ v.ÉóÅÐ
judgement   n.ÅÐ¾ö£¬Òâ¼û£¬ÅÐ¶Ï
jug   n.´óºø£¬¹Þ
juice   n.Ö­£¬Òº
juicy   adj.¶àÖ­µÄ
july   n.ÆßÔÂ
jumble   n.¸ãÂÒ£¬»ìÂÒ
jump   v.,n.ÌøÔ¾£¬Ìø¶¯
junction   n.Á¬½Ó£¬½áºÏ´¦£¬½ÓÍ·
june   n.ÁùÔÂ
jungle   n.ÃÜÁÖ£¬ÈÈ´ø´ÔÁÖ
junior   adj.ÄêÉÙµÄ£¬µÍ¼¶µÄ
jupiter   n.Ä¾ÎÝ
jury   n.ÅãÉóÍÅ£¬ÆÀ½±ÍÅ
just   adv.Ö»£¬¸Õ²Å
justice   n.¹«Õý£¬ÕýÖ±
justifiable   adj.ÓÐÀíÓÉµÄ
justification   n.±ç»¤£¬Õýµ±ÀíÓÉ
justify   v.ÈÏÎª...ÓÐÀí
juvenile   adj.ÇàÉÙÄêµÄ
kangaroo   n.´øÊó
keen   adj.·æÀûµÄ£¬Ãô½ÝµÄ
keep   v.±£³Ö£¬±£Áô£¬·ÀÖ¹
keeper   n.±£¹ÜÈË£¬¹ÜÀíÔ±
keeping   n.Ò»ÖÂ£¬Ð­µ÷
kernel   n.ºË(ÈÊ)£¬ºËÐÄ
kerosene   n.ÃºÓÍ
kettle   n.Ë®ºø
key   n.Ô¿³×£¬¹Ø¼ü£¬´ð°¸
keyboard   n.¼üÅÌ
keyhole   n.Ô¿³×¿×
kick   v.,n.Ìß
kid   n.Ð¡º¢ v.ºåÆ­
kidnap   v.°ó¼Ü£¬ÓÕ¹Õ
kidnaper   n.°ó¼ÜÕß
kidney   n.Éö£¬Ñü×Ó
kill   v.É±ËÀ£¬É±º¦
killer   n.É±ÈËÕß£¬É±ÊÖ
kilo   n.(Ëõ)¹«½ï£¬¹«Àï
kilogram   n.¹«½ï
kilometer   n.¹«Àï
kilowatt   n.Ç§Íß
kind   n.ÖÖÀà adj.ÈÊ´ÈµÄ
kindergarten   n.Ó×¶ùÔ°
kindle   v.µãÈ¼£¬¼¤·¢
kindly   adv.ÈÊ´ÈµØ£¬ºÃÐÄµØ
kindness   n.ÈÊ´È£¬ºÃÒâ
king   n.¹úÍõ
kingdom   n.Íõ¹ú
kiss   v.½ÓÎÇ£¬Ç××ì
kit   n.È«Ì×¹¤¾ß¡¢×°±¸
kitchen   n.³ø·¿
kite   n.·çóÝ
knee   n.Ï¥
kneel   v.¹òÏÂ
knife   n.Ð¡µ¶
knight   n.ÆïÊ¿£¬¾ôÊ¿
knit   v.±àÖ¯£¬Öå(Ã¼)
knob   n.ÇòÐÎ°ÑÊÖ
knock   v.ÇÃ£¬»÷µ¹ n.ÇÃÃÅÉù
knot   n.½á£¬Ê÷½Ú v.´ò½á
know   n.ÖªµÀ£¬ÈÏÊ¶£¬¶®
know-how   n.×¨Ïî¼¼Êõ£¬¾÷ÇÏ
knowledge   n.ÖªÊ¶£¬Ñ§Ê¶
knowledgeable   adj.²©Ñ§µÄ
lab   n.(Ëõ)ÊµÑéÊÒ
label   n.±êÇ© v.±êÃ÷
laboratory   n.ÊµÑéÊÒ
labor   n.ÀÍ¶¯£¬ÀÍ¶¯Á¦
laborer   n.ÀÍ¹¤£¬ÀÍ¶¯Õß
labor-intensive   adj.ÀÍ¶¯ÃÜ¼¯ÐÍµÄ
lace   n.»¨±ß£¬Ð¬´ø
lack   v.,n.È±ÉÙ
lad   n.ÉÙÄê£¬Ð¡»ï×Ó
ladder   n.ÌÝ×Ó£¬½×ÌÝ
lady   n.Å®Ê¿£¬¹ó¸¾ÈË£¬·òÈË
lag   v.,n.Âäºó£¬ÖÍºó
lake   n.ºþ£¬ºþ²´
lamb   n.¸áÑò£¬Ð¡ÑòÈâ
lame   adj.õËµÄ£¬Õ¾²»×¡½ÅµÄ
lamp   n.µÆ
land   n.Â½µØ£¬ÍÁµØ v.×ÅÂ½
landed   adj.Ð¶»õµÄ
landing   n.Â¥ÌÝÆ½Ì¨£¬×ÅÂ½
landlady   n.Å®·¿¶«
landlord   n.·¿¶«£¬µØÖ÷
landscape   n.·ç¾°(»­)£¬µØÐÎ
lane   n.Ð¡Ïï£¬ÅÜµÀ£¬ÐÐ³µµÀ
langkap   Àä¼×(ñRíÎ÷†,ÅùìZÖÞÄÚÒ»µØ·½Ãû)
language   n.ÓïÑÔ
lantern   n.µÆÁý
lap   n.Ï¥¸Ç
lapse   v.(Ê±¼ä)Á÷Ê§
large   adj.´óµÄ£¬¾Þ´óµÄ
largely   adv.´ó²¿·Ö£¬»ù±¾ÉÏ
lark   n.ÔÆÈ¸£¬°ÙÁéÄñ
laser   n.¼¤¹â
last   adj.×îºóµÄ adv.ÉÏ´Î
lasting   adj.³Ö¾ÃµÄ£¬³ÖÐøµÄ
late   adj.³Ùµ½µÄ£¬ÍíµÄ
lately   adv.½üÀ´£¬×îºó
latent   adj.Ç±·üµÄ£¬Ç±ÔÚµÄ
later   adv.¸üÍí£¬ÒÔºó£¬¹ýºó
lateral   adj.ºáÏòµÄ£¬²àÏòµÄ
lathe   n.³µ´²
latin   n.,adj.À­¶¡Óï(µÄ)
latitude   n.Î³¶È£¬»î¶¯ÓàµØ
latter   adj.ºóÃæµÄ£¬ºóÕßµÄ
lattice   n.½á¹¹£¬µãÕó
laugh   v.Ð¦£¬³°Ð¦
laughter   n.Ð¦£¬Ð¦Éù
launch   v.·¢Éä£¬·¢¶¯£¬¿ªÊ¼
laundry   n.Ï´ÒÂµê£¬ËÍÏ´µÄÒÂÎï
lavatory   n.îÂÏ´ÊÒ£¬²ÞËù
law   n.·¨ÂÉ£¬¶¨ÂÉ
lawful   adj.ºÏ·¨µÄ£¬·¨ÂÉµÄ
lawn   n.²ÝµØ£¬²ÝÆº
lawyer   n.ÂÉÊ¦£¬·¨Ñ§¼Ò
lay   v.·Å£¬°²ÅÅ£¬´ò»ù´¡
layday   n.×°Ð¶ÈÕÆÚ
layer   n.²ã£¬²ã´Î
layout   n.Éè¼Æ£¬¹æ»®£¬Í¼°¸
laziness   n.ÀÁ¶è
lazy   adj.ÀÁ¶èµÄ
l/c   n.(Ëõ)ÐÅÓÃÖ¤
lead   v.Òýµ¼£¬ÁìÏÈ£¬ÂÊÁì
leader   n.Áìµ¼£¬ÁìÐä
leadership   n.Áìµ¼
leading   adj.ÁìÏÈµÄ£¬Ò»Á÷µÄ
leaf   n.Ò¶×Ó£¬Ò³
leaflet   n.´«µ¥£¬µ¥Ò³Ðû´«Æ·
league   n.Í¬ÃË£¬Ð­»á
leak   v.Â©£¬Ð¹Â©
leakage   n.ÉøÂ©
lean   v.¸©Éí£¬ÒÐ adj.ÊÝµÄ
leap   v.,n.ÌøÔ¾ adj.ÈòÄêµÄ
learn   v.Ñ§Ï°£¬»ñÏ¤
learned   adj.ÓÐÑ§ÎÊµÄ
learner   n.Ñ§Ï°Õß£¬Ñ§Éú
learning   n.Ñ§ÎÊ£¬Ñ§Ï°
lease   v.×âÆ¾£¬³ö×â n.×âÔ¼
least   adj.×îÉÙµÄ
leather   n.Æ¤¸ï adj.Æ¤¸ïÖÆµÄ
leave   v.³ö·¢£¬Àë¿ª n.ÐÝ¼Ù
lecture   n.,v.ÑÝ½²£¬½²¿Î
lecturer   n.ÑÝ½²Õß£¬½²Ê¦
leeway   adj.»î¶¯ÓàµØ
left   adj.×óµÄ adv.Ïò×ó
left-handed   adj.×óÊÖµÄ£¬×ó²àµÄ
leftover   n.Ê£ÓàÎï
leg   n.ÍÈ£¬¿ã½Å
legal   adj.ºÏ·¨µÄ£¬·¨ÂÉµÄ
legend   n.´«Ëµ£¬´«Ææ
legendary   adj.´«ËµµÄ£¬´«ÆæµÄ
legislation   n.Á¢·¨£¬·¨¹æ
legitimate   adj.ºÏ·¨µÄ£¬ºÏÀíµÄ
legitimation   n.ºÏ·¨
leisure   n.ÏÐÏ¾£¬ÏÐ¿Õ
lemon   n.ÄûÃÊ
lemonade   n.ÄûÃÊÆûË®
lend   v.³ö½è£¬´û¿î
lending   n.´û¿î£¬½è¿î
length   n.³¤¶È£¬ÆÚÏÞ
lengthen   v.ÑÓ³¤£¬±ä³¤
leninism   n.ÁÐÄþÖ÷Òå
lens   n.Í¸¾µ£¬¾µÆ¬£¬¾§Ìå
leopard   n.±ª
less   adj.¸üÉÙµÄ adv.½ÏÐ¡
lessen   v.¼õÉÙ£¬±äÐ¡£¬±äÈõ
lesson   n.¹¦¿Î£¬¿Î³Ì£¬½ÌÑµ
lest   prep.Î¨¿Ö£¬ÒÔÃâ
let   v.ÈÃ£¬Ê¹
letter   n.×ÖÄ¸£¬ÐÅ£¬º¯¼þ
level   n.Ë®Æ½£¬¼¶ v.ÅªÆ½
lever   n.¸Ü¸Ë
levy   v.Õ÷Ë° n.¹ØË°
liability   n.ÔðÈÎ£¬ÒåÎñ£¬Õ®Îñ
liable   adj.ÓÐÔðÈÎµÄ
liar   n.Ëµ»ÑÕß
liberal   adj.Ë¼Ïë¿ª·ÅµÄ
liberate   v.½â·Å£¬ÊÍ·Å£¬Ê¹×ÔÓÉ
liberation   n.½â·Å
liberty   n.×ÔÓÉ
librarian   n.Í¼Êé¹ÜÀíÔ±
library   n.Í¼Êé¹Ý£¬²ØÊé
license   n.Ðí¿É(Ö¤)£¬Ö´ÕÕ
lick   v.Ìò
lid   n.¸Ç£¬Á³
lie   v.ÌÉ£¬Î»ÓÚ v.,n.Ëµ»Ñ
lieutenant   n.ÖÐÎ¾£¬¸±Ö°
life   n.Éú»î£¬ÉúÃü£¬Ò»Éú
lifetime   n.Ò»Éú
lift   v.¾ÙÆð£¬µõ n.µçÌÝ
light   n.¹â£¬µÆ adj.Ã÷ÁÁµÄ
lighten   v.·¢ÁÁ£¬Ê¹...Óä¿ì
lighter   n.´ò»ð»ú
lighthouse   n.µÆËþ
lightly   adv.ÇáÇáµØ£¬ÇáÒ×µØ
lightning   n.ÉÁµç
like   v.Ï²»¶ prep.Ïñ
likelihood   n.¿ÉÄÜ£¬ÏàËÆÐÔ
likely   adj.¿ÉÐÅµÄadv.ºÜ¿ÉÄÜ
likeness   n.ÏàÏñ£¬ÀàËÆ
likewise   adv.Í¬Ñù£¬ÕÕÑù
liking   n.ÐËÈ¤£¬ÊÈºÃ
lily   n.°ÙºÏ£¬Ë¯Á«
limb   n.Ö«£¬Ê÷Ö¦
lime   n.Ê¯»Ò
limestone   n.Ê¯»ÒÑÒ
limit   n.½çÏÞ£¬ÏÞ¶È v.ÏÞÖÆ
limitation   n.ÏÞÖÆ£¬¾ÖÏÞ
limited   adj.ÓÐÏÞµÄ£¬ÏÞ¶¨µÄ
limousine   n.ºÀ»ª½Î³µ
limp   adj.ÈáÈíµÄ v.õËÐÐ
line   n.ÐÐ£¬ÏßÌõ£¬½çÏß
linear   adj.ÏßÐÔµÄ£¬Ïß×´µÄ
linen   n.ÑÇÂé(Ö¯Îï)
liner   n.°àÂÖ£¬°à»ú
linger   v.ÅÇ»²£¬¶ºÁô£¬ÍÏÑÓ
linguist   n.ÓïÑÔÑ§Õß
linguistics   n.ÓïÑÔÑ§
lining   n.¼ÐÀï£¬³ÄÀï
link   v.ÁªÏµ£¬Á¬½á n.Å¦´ø
lion   n.Ê¨×Ó
lioness   n.Ä¸Ê¨×Ó
lip   n.×ì´½
lipstick   n.¿Úºì£¬´½¸à
liquid   n.ÒºÌå adj.ÒºÌåµÄ
liquor   n.ÁÒÐÔ¾Æ
list   n.±í£¬Ãûµ¥ v.ÁÐ±í
listen   v.Ìý£¬Ìý´Ó
listener   n.ÌýÕß
literacy   n.Ê¶×Ö
literal   adj.×ÖÃæµÄ£¬²»¿äÕÅµÄ
literally   adv.¼òÖ±£¬×ÖÃæÉÏ
literary   adj.ÎÄÑ§µÄ
literate   n.ÓÐÎÄ»¯µÄ
literature   n.ÎÄÑ§£¬ÎÄÏ×
litre   n.¹«Éý
litter   v.ÂÒ¶ª·ÏÎï n.·ÏÎï
little   adj.Ð¡µÄ£¬Ò»µã£¬ÉÙµÄ
live   v.¾Ó×¡,Éú´æ adj.»îµÄ
livelihood   n.Éú»î
lively   adj.»îÔ¾µÄ£¬ÈÈÄÖµÄ
liver   n.¸Î
livestock   n.ÉüÐó
living   adj.»î×ÅµÄ n.Éú¼Æ
living-room   n.¿ÍÌü£¬Æð¾ÓÊÒ
load   n.¸ºÔØ£¬¸ºµ£ v.×°ÔØ
loaf   n.Ãæ°ü v.ÓÎµ´
loan   n.´û¿î v.³ö½è
lobby   n.Ç°Ìü v.ÓÎËµ
lobster   n.ÁúÏº
local   adj.µØ·½µÄ£¬µ±µØµÄ
locality   n.µØµã£¬ÏÖ³¡
locate   v.ÕÒ³ö£¬È·¶¨µØµã
location   n.µØµã£¬Î»ÖÃ
lock   v.ËøÉÏ n.Ëø£¬ç¸
lock-up   n.Ëø£¬¹Ì¶¨×Ê±¾
locomotive   n.»ð³µÍ·£¬»ú³µ
locust   n.»È³æ
lodge   v.¼ÄËÞ
lodging   n.×¡´¦£¬×¡·¿
lofty   adj.³ç¸ßµÄ£¬¸ßËÊµÄ
log   n.Ô­Ä¾£¬º½º£ÈÕÖ¾
logic   n.Âß¼­£¬ÂÛÀíÑ§
logical   adj.Âß¼­µÄ
loneliness   n.¹Â¶À£¬¼ÅÄ¯
lonely   adj.¹Â¶ÀµÄ£¬¼ÅÄ¯µÄ
lonesome   adj.¼ÅÄ¯µÄ
long   adj.³¤µÄ adv.³¤¾Ã
longevity   n.³¤ÊÙ
longing   n.¿ÊÍû£¬Ë¼Ä½
longitude   n.¾­¶È£¬¾­Ïß
long-term   adj.³¤ÆÚµÄ
look   v.¿´£¬¿´ÉÏÈ¥ n.Íâ±í
loom   v.ÒþÒþ³öÏÖ n.Ö¯²¼»ú
loop   n.»·£¬»ØÂ· v.»·ÈÆ
loose   adj.ËÉµÄ£¬×ÔÓÉ×ÔÔÚµÄ
loosen   v.½â¿ª£¬·ÅËÉ
lord   n.¾ýÖ÷£¬¹ó×å£¬ÉÏµÛ
lorry   n.¿¨³µ£¬ÔØÖØÆû³µ
lose   v.Ê§È¥£¬¶ªÊ§£¬Êä
loss   n.É¥Ê§£¬Ê§Àû£¬ËðÊ§
lost   adj.Ê§È¥µÄ
lot   n.Ðí¶à£¬µØ adv.Ïàµ±
lottery   n.³é²Ê£¬×¥ãÎ£¬²ÊÆ±
loud   adj.ÏìÁÁµÄ£¬´óÉùµÄ
loudness   n.ÏìÁÁ
loudspeaker   n.ÑïÉùÆ÷£¬À©ÒôÆ÷
lounge   n.ÐÝÏ¢ÊÒ
lovable   adj.¿É°®µÄ
love   v.°®£¬Ï²»¶ n.°®Çé
lovely   adj.ºÃ¿´µÄ£¬¿É°®µÄ
lover   n.°®ÈË£¬ÇéÈË£¬°®ºÃÕß
low   adj.µÍµÄ£¬µÍÁ®µÄ
lower   v.½µµÍ£¬¼õÈõ
loyal   adj.ÖÒ³ÏµÄ£¬ÖÒÕêµÄ
loyalty   n.ÖÒ³Ï£¬ÖÒÕê
lubricate   v.Èó»¬
lubrication   n.Èó»¬
luck   n.ÔËÆø£¬ÐÒÔË
lucky   adj.ÐÒÔËµÄ
luggage   n.ÐÐÀî
lumber   n.Ä¾²Ä£¬Ä¾ÁÏ
luminous   adj.·¢¹âµÄ£¬Ã÷ÎúµÄ
lump   n.¿é£¬Ö×¿é
lumpsum   n.×ÜÊý
lunar   adj.ÔÂÁÁµÄ£¬ÒõÀúµÄ
lunch   n.Îç·¹£¬±ã²Í
luncheon   n.Îç²Í£¬ÎçÑç
lung   n.·Î
luxurious   adj.ºÀ»ªµÄ£¬ÉÝ³ÞµÄ
luxury   n.ÉÝ³Þ(Æ·)
machine   n.»úÆ÷
machinery   n.»úÐµ(×Ü³Æ)
mackintosh   n.ÓêÒÂ
macroeconomics   n.ºê¹Û¾­¼ÃÑ§
mad   adj.·è¿ñµÄ£¬¿ñÈÈµÄ
madam   n.·òÈË£¬Ì«Ì«£¬Å®Ê¿
madman   nn.·è×Ó
madness   n.·è¿ñ£¬·è²¡
magazine   n.ÔÓÖ¾£¬ÆÚ¿¯
magic   n.Ä§·¨£¬Ä§Êõ£¬÷ÈÁ¦
magician   n.Ä§ÊõÊ¦
magistrate   n.µØ·½·¨¹Ù
magnet   n.´ÅÐÔ£¬´ÅÌú
magnetic   adj.´ÅÐÔµÄ
magnetism   n.´ÅÐÔ£¬´ÅÁ¦£¬ÎüÒýÁ¦
magnificent   adj.×³ÀöµÄ£¬ºêÎ°µÄ
magnify   v.·Å´ó£¬À©´ó
magnitude   n.ºê´ó£¬ÖØÒª(ÐÔ)
maid   n.Å®ÆÍ£¬ÊÌÅ®
maiden   n.ÉÙÅ® adj.Î´»éµÄ
mail   n.ÓÊ¼þ v.ÓÊ¼Ä
mailbox   n.ÐÅÏä
main   adj.Ö÷ÒªµÄ
mainland   n.´óÂ½£¬±¾ÍÁ
mainly   adv.Ö÷ÒªµØ£¬´ó²¿·Ö
mainstream   n.Ö÷Á÷
maintain   v.Î¬³Ö£¬±£Ñø£¬¼á³Ö
maintenance   n.±£Ñø£¬Î¬ÐÞ
maize   n.ÓñÃ×
majesty   n.±ÝÏÂ£¬ÐÛÎ°£¬×¯ÑÏ
major   adj.Ö÷ÒªµÄ£¬¶àÊýµÄ
majority   n.¶àÊý£¬¹ý°ëÊý
make   v.×ö£¬ÖÆÔì n.ÖÖÀà
maker   n.ÖÆÔìÕß£¬ÖÆÔìÉÌ
make-shift   adj.ÁÙÊ±µÄn.È¨ÒËÖ®¼Æ
make-up   n.ÆøÖÊ£¬»¯×±Æ·
malady   n.²¡
malaria   n.Å±¼²
malaise   n.ÂíÀ´Î÷ÑÇ
malaysia   n.ÂíÀ´Î÷ÑÇ
male   adj.ÄÐÐÔµÄ£¬ÐÛµÄ
malice   n.¶ñÒâ£¬¶ñ¸Ð
malicious   adj.¶ñÒâµÄ
man   n.ÈË£¬ÄÐÈË£¬ÈËÀà
manage   v.¹ÜÀí£¬´¦Àí£¬Éè·¨
management   n.¹ÜÀí(ÈËÔ±)£¬¾­Óª
manager   n.¾­Àí
managerial   adj.¹ÜÀíµÄ
manhood   n.ÄÐ×ÓÆø
manifest   v.±íÃ÷ adj.Ã÷°×µÄ
manifestation   n.±íÃ÷
manifesto   n.ÐûÑÔ
manipulate   v.²Ù×Ý£¬²Ù×÷£¬°Ú²¼
manipulation   n.²Ù×Ý£¬²Ù×÷
mankind   n.ÈËÀà
manly   adj.´óÕÉ·òµÄ
manner   n.·½·¨£¬·½Ê½£¬ÀñÃ²
mansion   n.Õ¬µÚ£¬¹ÙÛ¡£¬´óÏÃ
manual   adj.ÓÃÊÖµÄ n.ÊÖ²á
manufacture   v.,n.ÖÆÔì
manufactured   adj.ÖÆ³ÉµÄ
manufacturer   n.ÖÆÔìÉÌ
manuscript   n.ÊÖ¸å£¬Ô­¸å
many   adj.Ðí¶àµÄ n.Ðí¶à
map   n.µØÍ¼ v.³ï»®
maple   n.·ãÊ÷
marble   n.´óÀíÊ¯£¬µ¯×Ó
march   n.ÈýÔÂ
march   n.,v.ÐÐ½ø£¬ÐÐ¾ü
margin   n.ÓàµØ£¬±ßÔµ
marginal   adj.±ßÔµµÄ£¬±ß¼ÊµÄ
marine   adj.º£µÄ£¬º£ÉúµÄ
mariner   n.º£Ô±£¬Ë®ÊÖ
mark   n.ºÛ¼££¬·ûºÅ£¬±ê¼Ç
marked   adj.ÓÐ±ê¼ÇµÄ£¬±êÃ÷µÄ
market   n.ÊÐ³¡£¬ÏúÂ·
marketable   adj.ÓÐÏúÂ·µÄ
marketing   n.ÊÐ³¡Ñ§£¬ÓªÏúÑ§
marketplace   n.ÊÐ³¡£¬¼¯ÊÐ
marking   n.ßéÍ·£¬±ê¼Ç
marriage   n.»éÒö£¬»éÀñ
married   adj.ÒÑ»éµÄ
marry   v.È¢£¬¼Þ£¬Îª...Ö÷»é
mars   n.»ðÐÇ
marsh   n.ÕÓÔó
marshal   n.ÔªË§
martyr   n.ÁÒÊ¿£¬Ñ³µÀÕß
marvel   n.Ææ¼£ v.¾ªÆæ
marvellous   adj.ÆæÒìµÄ£¬¾øÃîµÄ
marxism   n.Âí¿ËË¼Ö÷Òå
marxist   n.Âí¿ËË¼Ö÷ÒåÕß
masculine   adj.ÄÐÐÔµÄ£¬ÑôÐÔµÄ
mask   n.¼ÙÃæ¾ß v.ÑÚÊÎ
mass   n.¶Ñ£¬´óÁ¿£¬ÈºÖÚ
massacre   n.,v.ÍÀÉ±£¬²ÐÉ±
massage   n.°´Ä¦£¬ÍÆÄÃ
massive   adj.´Ö´óµÄ£¬ºñÖØµÄ
mass media   n.´«Ã½¹¤¾ß£¬ÐÂÎÅ½ç
mast   n.Î¦¸Ë
master   n.Ö÷ÈË£¬´óÊ¦£¬Ë¶Ê¿
masterpiece   n.½Ü×÷
mat   n.µæ×Ó£¬Ï¯×Ó
match   n.»ð²ñ£¬¶ÔÊÖ£¬±ÈÈü
mate   n.»ï°é v.Åä¶Ô
material   n.²ÄÁÏ£¬×ÊÁÏ£¬Ô­ÁÏ
materialism   n.Î¨ÎïÖ÷Òå
materialize   v.Ê¹¾ßÌå»¯£¬ÎïÖÊ»¯
mathematical   adj.ÊýÑ§µÄ
mathematics   n.ÊýÑ§
mathematician   n.Êý×Ö¼Ò
maths   n.(Ëõ)ÊýÑ§
matinee   n.ÈÕ³¡ÑÝ³ö
matter   n.ÊÂÇé£¬Îï×Ê£¬Ã«²¡
mattress   n.´²µæ
mature   adj.³ÉÊìµÄ£¬µ½ÆÚµÄ
maturity   n.³ÉÊì£¬µ½ÆÚ
maximize   v.Ôö¼Óµ½×î´ó³Ì¶È
maximum   n.×î´óÁ¿£¬¼«ÏÞ
may   n.ÎåÔÂ
may   v.¿ÉÒÔ£¬Ò²Ðí£¬×£Ô¸
maybe   adv.»òÐí£¬´ó¸Å
mayor   n.ÊÐ³¤
me   pron.ÎÒ(±ö¸ñ)
meadow   n.ÄÁ³¡£¬²ÝµØ
meal   n.ÉÅÊ³£¬Ò»¶Ù·¹
mean   v.´òËã£¬ÒâÖ¸
meaning   n.ÒâÒå£¬ÒâÍ¼
means   n.ÊÖ¶Î£¬²ÆÁ¦
meantime   adv.Í¬Ê±£¬ÔÚÕâÆÚ¼ä
meanwhile   adv.,n.ÔÚÕâÆÚ¼ä
measure   n.³ß´ç£¬Á¿¾ß£¬´ëÊ©
measurement   n.²âÁ¿(½á¹û)
meat   n.Èâ
mechanic   n.¼¼¹¤
mechanical   adj.»úÐµµÄ¡¢»ú¶¯µÄ
mechanically   adv.»úÐµµØ
mechanics   n.Á¦Ñ§£¬»úÐµÑ§
mechanism   n.»úÖÆ£¬»úÐµ×°ÖÃ
medal   n.½±ÕÂ£¬Ñ«ÕÂ£¬¼ÍÄîÕÂ
medical   adj.Ò½Ñ§µÄ£¬Ò½ÎñµÄ
medicine   n.Ò©£¬Ò½Ñ§
medieval   adj.ÖÐÊÀ¼ÍµÄ
meditate   v.¿¼ÂÇ£¬³ÁË¼
meditation   n.¿¼ÂÇ£¬³ÁË¼Ú¤Ïë
mediterranean   n.µØÖÐº£
medium   n.ÖÐ¼ä£¬Ã½½é£¬ÖÐÓ¹
meek   adj.ÎÂË³µÄ
meet   v.Óöµ½£¬»á¼û£¬Ó­½Ó
meeting   n.»áÒé£¬¼¯»á
melancholy   n.,adj.ÓÇÓô(µÄ)
melody   n.ÐýÂÉ£¬Çúµ÷
melon   n.¹Ï£¬Ìð¹Ï
melt   v.ÈÛ»¯£¬ÈÚ½â
member   n.³ÉÔ±£¬»áÔ±
membership   n.»áÔ±×Ê¸ñ£¬È«Ìå³ÉÔ±
memo   n.±¸ÍüÂ¼
memoir   n.»ØÒäÂ¼
memorial   adj.¼ÍÄîµÄ£¬×·µ¿µÄ
memorize   v.¼Ç×¡£¬¼ÇÒä
memory   n.¼ÇÒä(Á¦)£¬»ØÒä
menace   v.,n.ÍþÐ²£¬¿ÖÏÅ
mend   v.ÐÞÀí£¬ÐÞ²¹£¬ºÃ×ª
mental   adj.ÐÄÀíµÄ£¬¾«ÉñµÄ
mentality   n.ÐÄÀí£¬ÒâÊ¶
mention   v.,n.Ìá¼°£¬½²µ½
menu   n.²Ëµ¥
merchandise   n.ÉÌÆ·£¬»õÎï
merchant   n.ÉÌÈË adj.ÉÌÒµµÄ
mercantile   n.ÉÌÆ·
merciful   adj.ÈÊ´ÈµÄ£¬¿í´óµÄ
mercury   n.Ë®ÐÇ
mercury   n.¹¯£¬Ë®Òø
mercy   n.¿í´ó£¬´È±¯£¬Á¯Ãõ
mere   adj.½ö½öµÄ£¬ÆðÂëµÄ
merely   adv.½ö½ö£¬Ö»
merge   v.ºÏ²¢
merit   n.¼ÛÖµ£¬¹¦¼¨ v.Ó¦µÃ
mermaid   n.ÃÀÈËÓã
merry   adj.»¶ÀÖµÄ
mesh   n.Íø¿×£¬É¸ÑÛ
mess   n.°¹Ôà£¬ÁèÂÒ v.ÅªÔà
message   n.ÒôÑ¶£¬ÏûÏ¢
messenger   n.Í¨Ñ¶Ô±£¬Ê¹Õß
metal   n.½ðÊô
metallic   adj.½ðÊôµÄ
metallurgy   n.Ò±½ðÑ§
